lat,lon,mean,median,std,min,max,count
12.5,92.5,30.68748540556046,30.5710585,1.2819095625521175,25.882025,35.848515,9064
13.5,74.5,29.78396396196734,29.9335165,2.5564903140404467,23.081215,35.9105,20088
13.5,75.5,29.636341757516924,29.565610999999997,2.7126405760815815,22.4,36.56256,20088
13.5,76.5,29.85241815940658,29.109196,2.8982390999498593,21.65,37.791958,20087
13.5,77.5,30.348088983272767,29.730202,2.9924288567329325,20.81671,38.925808,20087
13.5,78.5,32.06211857350525,31.821133,3.2656061231402655,21.340534,41.309147,20087
13.5,79.5,33.39242058654852,33.518425,3.4800814609578214,22.48676,44.221676,20087
13.5,80.5,33.883357941803155,34.09623,3.384678259096342,23.55,44.94972,20087
14.5,74.5,30.985964750846275,31.146053000000002,2.4321258945497095,24.059273,36.91167,20088
14.5,75.5,30.64084846211669,30.204946,2.8474335928295726,22.89,37.705967,20088
14.5,76.5,30.628665536837914,29.835227,3.0861574437755874,21.82,38.827183,20088
14.5,77.5,32.404266850848806,31.717165,3.3612399814666443,22.362701,42.16114,20087
14.5,78.5,33.17536805774879,32.8987,3.476249290786053,22.618902,43.03988,20087
14.5,79.5,33.92594018081346,33.9575,3.497288052724941,23.58072,45.33351,20087
14.5,80.5,33.969519394832474,34.00758,3.4344476935770523,23.909533,45.801544,20087
15.5,73.5,31.2972640454998,31.536691,2.257257789948207,24.484882,36.83,20088
15.5,74.5,31.364825910444047,31.51,2.4211477219390525,23.662521,37.217445,20088
15.5,75.5,31.802672998456792,31.1468125,3.027167184209257,23.75,39.749527,20088
15.5,76.5,32.798149614546,31.8469835,3.525014758149562,22.770222,42.381153,20088
15.5,77.5,33.65812695245918,32.804278999999994,3.647519181636995,22.676954,43.5784,20088
15.5,78.5,34.39026836003386,33.8492,3.631120326667761,23.353426,44.783676,20087
15.5,79.5,34.26003105008214,33.900005,3.486171728916612,23.011677,45.793446,20087
15.5,80.5,33.628289535945434,33.338785,3.3825368012989574,21.864782,45.90359,20086
16.5,73.5,31.574761361459576,31.74409,2.278198395103847,24.457619,37.52,20088
16.5,74.5,31.56599220360414,31.3143765,2.8178958737899524,23.6785,38.88,20088
16.5,75.5,32.0980146817503,31.32075,3.4140779775271137,22.364086,41.32889,20088
16.5,76.5,33.3011980638192,32.311682000000005,3.7918662228411737,22.011944,43.729256,20088
16.5,77.5,33.38092065810434,32.4376265,3.885424375776383,21.586308,44.231277,20088
16.5,78.5,33.39253869882517,32.454109,3.924704368443458,21.460566,44.35434,20088
16.5,79.5,33.75481851483473,33.134569,3.634037393782116,21.430603,45.27507,20088
16.5,80.5,33.626387503410164,33.200333,3.4133377819020487,21.326208,45.74905,20087
16.5,81.5,33.337504913870355,32.96,3.3274687457938446,20.883827,45.304962,20086
16.5,82.5,32.9002289188947,32.636673,3.0607127489634443,21.584148,44.51,20085
17.5,73.5,30.961085992831542,30.857782,2.8848645111163598,23.582901,38.29,20088
17.5,74.5,31.578188552170452,31.012068,3.2943053083805327,23.453728,40.02258,20088
17.5,75.5,32.925309949721225,31.9737455,3.526411776128176,22.776348,42.713303,20088
17.5,76.5,33.3873763344783,32.34,3.973630409759118,21.37077,44.182728,20088
17.5,77.5,33.06813681625846,32.0126915,4.03707955202148,20.423557,44.295868,20088
17.5,78.5,33.21786550477897,32.164666499999996,4.078250001247269,20.205788,45.056263,20088
17.5,79.5,33.777957832536835,32.7740725,4.066137423712816,21.510836,46.033344,20088
17.5,80.5,33.11556492239148,32.352219,3.713328515118921,20.654903,45.837566,20088
17.5,81.5,32.39082941253485,31.767819000000003,3.413066466050294,19.986656,44.48,20088
17.5,82.5,31.69376237038881,31.390297,2.9557362745782805,20.388557,42.64,20087
17.5,83.5,31.444523726240853,31.205332,2.88511715353738,20.971142,41.65,20087
18.5,72.5,31.063187383512545,30.99,2.4952471392978364,22.89,38.108074,20088
18.5,73.5,31.192743276085224,30.9142835,2.86802329533144,22.984816,38.69,20088
18.5,74.5,31.827450419902434,30.982295999999998,3.515862243909321,23.120956,40.95,20088
18.5,75.5,33.199318771754285,32.0689215,3.9509586389019633,22.183279,44.440388,20088
18.5,76.5,33.54498582566706,32.4310935,4.131892656147238,21.543543,44.817055,20088
18.5,77.5,33.255653990193146,32.11,4.213255937776975,20.973694,44.850452,20088
18.5,78.5,33.251127460374356,32.109235,4.234680704343435,20.616615,45.21862,20088
18.5,79.5,33.66988974890482,32.51,4.235474595712178,21.500153,45.928623,20088
18.5,80.5,32.943460099661486,31.927538,3.9954249706844216,20.25719,45.870525,20088
18.5,81.5,32.14723785020908,31.491955,3.4263521537543253,19.738768,43.941917,20088
18.5,82.5,32.030595779719235,31.4954315,3.2566056199738203,19.960415,43.1,20088
18.5,83.5,31.647559026186087,31.216818,3.186657699619972,20.342997,42.09,20087
18.5,84.5,32.22674399870563,32.090145,3.0212379593882246,20.944162,43.00041,20087
19.5,72.5,32.11634163863999,31.855445000000003,2.7337977537806575,22.71809,39.73412,20088
19.5,73.5,32.042231582785746,31.6696645,2.9045745040327207,22.526209,40.09,20088
19.5,74.5,32.71270257825568,31.65474,3.867986376749263,20.9223,42.799168,20088
19.5,75.5,33.293559883661885,32.156555,4.153307273943816,21.376247,44.47,20088
19.5,76.5,33.50153494877539,32.35,4.329102231199089,20.636637,44.97,20088
19.5,77.5,33.816924557048985,32.586853000000005,4.59371237329951,20.630905,45.937363,20088
19.5,78.5,34.0248327455695,32.7338225,4.6091591273490735,21.432035,46.269558,20088
19.5,79.5,33.883993939317,32.5748435,4.669300350202445,21.27742,46.87416,20088
19.5,80.5,32.78768994105934,31.5527085,4.430918343705844,20.54152,45.877167,20088
19.5,81.5,32.78884201911589,31.54,4.4072939994498865,20.484581,46.103817,20088
19.5,82.5,31.74250763719634,30.963682,3.732812113154288,19.316648,43.092186,20088
19.5,83.5,32.29297366701513,31.7879025,3.483398648837792,20.49,42.86,20088
19.5,84.5,32.416427084930554,32.040627,3.4727649687465574,20.030045,42.9705,20087
19.5,85.5,31.77761142997959,31.748035,3.069426232246113,20.022123,41.753113,20087
20.5,70.5,32.69768504530293,32.631832,2.897062977489552,21.63,41.436737,20087
20.5,71.5,32.818129052917165,32.674366500000005,2.8183724719509855,22.460762,41.60107,20088
20.5,72.5,32.50655379072083,32.261894,2.7549243923704485,21.931805,40.623432,20088
20.5,73.5,32.76009416183791,32.399787,2.9596340314935228,22.475304,40.996334,20088
20.5,74.5,33.000221250149345,32.0486735,3.8872746035280943,20.172745,43.502113,20088
20.5,75.5,33.25942903803266,32.18055,4.297986405343452,19.773998,44.854618,20088
